District,VDC (ward) to Palika,VDC (ward) to Palika - ward,Partner Organization ,Project Title,"Implementing
Partner","Funding
Organisation",Sector,Activity Type,Name of the Infrastructure,Activity Detail,Curriculum (for Trainings),Activity Status,Unit (Indicator),"Physical Target -
Planned","Physical Target -
Reached",GaNaPa Ward Number ,GaNaPa_Code,GaPaN_Ward_Code
Dolakha,Kalinchok,6,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,6,22006,22006-6
Dolakha,Kalinchok,6,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,6,22006,22006-6
Dolakha,Kalinchok,6,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,6,22006,22006-6
Dolakha,Kalinchok,6,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Demolition and Debris Management Training,,Safe Demolition Training,DUDBC,Completed,households,1,1,6,22006,22006-6
Dolakha,Sailung,4,Pourakhi,,AS-N,CARITAS-L,Rural Housing and Community Infrastructure,Support -  Vulnerable households top-up,Individual Housing,Subsidy,,Planned,households,11,0,4,22008,22008-4
Dolakha,Kalinchok,2,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,8,8,2,22006,22006-2
Dolakha,Kalinchok,2,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,6,6,2,22006,22006-2
Dolakha,Bigu,5,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,6,6,5,22003,22003-5
Dolakha,Bigu,5,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,6,6,5,22003,22003-5
Dolakha,Bigu,5,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,6,6,5,22003,22003-5
Dolakha,Kalinchok,3,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,6,6,3,22006,22006-3
Dolakha,Kalinchok,3,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,6,6,3,22006,22006-3
Dolakha,Kalinchok,2,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,5,5,2,22006,22006-2
Dolakha,Bigu,8,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,5,5,8,22003,22003-8
Dolakha,Bigu,8,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,5,5,8,22003,22003-8
Dolakha,Kalinchok,4,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,5,5,4,22006,22006-4
Dolakha,Kalinchok,3,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,5,5,3,22006,22006-3
Dolakha,Kalinchok,2,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,4,4,2,22006,22006-2
Dolakha,Bigu,5,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,4,4,5,22003,22003-5
Dolakha,Bigu,5,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,4,4,5,22003,22003-5
Dolakha,Bigu,5,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,4,4,5,22003,22003-5
Dolakha,Bigu,5,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,4,4,5,22003,22003-5
Dolakha,Bigu,5,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,4,4,5,22003,22003-5
Dolakha,Bigu,5,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,4,4,5,22003,22003-5
Dolakha,Bigu,8,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,4,4,8,22003,22003-8
Dolakha,Bigu,8,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,4,4,8,22003,22003-8
Dolakha,Kalinchok,4,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,4,4,4,22006,22006-4
Dolakha,Kalinchok,4,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,4,4,4,22006,22006-4
Dolakha,Kalinchok,5,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,4,4,5,22006,22006-5
Dolakha,Kalinchok,5,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,4,4,5,22006,22006-5
Dolakha,Kalinchok,6,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,4,4,6,22006,22006-6
Dolakha,Kalinchok,6,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,4,4,6,22006,22006-6
Dolakha,Bigu,6,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,6,22003,22003-6
Dolakha,Bigu,6,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,6,22003,22003-6
Dolakha,Bigu,6,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,6,22003,22003-6
Dolakha,Bigu,6,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,6,22003,22003-6
Dolakha,Bigu,6,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,6,22003,22003-6
Dolakha,Bigu,6,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,6,22003,22003-6
Dolakha,Bigu,6,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,6,22003,22003-6
Dolakha,Bigu,6,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,6,22003,22003-6
Dolakha,Kalinchok,2,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,2,22006,22006-2
Dolakha,Bigu,8,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,8,22003,22003-8
Dolakha,Bigu,8,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,8,22003,22003-8
Dolakha,Bigu,8,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,8,22003,22003-8
Dolakha,Bigu,8,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,8,22003,22003-8
Dolakha,Kalinchok,4,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,4,22006,22006-4
Dolakha,Kalinchok,3,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,3,22006,22006-3
Dolakha,Kalinchok,5,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,5,22006,22006-5
Dolakha,Kalinchok,5,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,5,22006,22006-5
Dolakha,Kalinchok,6,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,6,22006,22006-6
Dolakha,Kalinchok,6,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,6,22006,22006-6
Dolakha,Kalinchok,6,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,3,3,6,22006,22006-6
Dolakha,Bigu,6,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,2,2,6,22003,22003-6
Dolakha,Kalinchok,2,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,2,2,2,22006,22006-2
Dolakha,Kalinchok,2,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,2,2,2,22006,22006-2
Dolakha,Kalinchok,2,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,2,2,2,22006,22006-2
Dolakha,Kalinchok,2,CA,Earthquake Recovery Programme Nepal,CEEPAARD,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,2,2,2,22006,22006-2
Dolakha,Bigu,8,CA,Earthquake Recovery Programme Nepal,HURADEC,CA,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,Mason Training,DUDBC,Completed,households,2,2,8,22003,22003-8
Dolakha,Kalinchok,2,RCJ,,RCJ ,Self,Education,Reconstruction - Classrooms,Mahadevswori Ni.Ma.VI ,Class Room construction ,,,households,4,,2,22006,22006-2
Dolakha,Kalinchok,6,PutaliS,,PutaliS,Swiss People,Education,Reconstruction - Classrooms,Morand Janajyoti School,Under Constructions,,,households,5,,6,22006,22006-6
Dolakha,Gaurishankar,5,SCI,,HURADEC,SCI,Social Protection,Awareness - Child Protection,Na,Training/orientation,Other (specify in Comments),,households,,,5,22004,22004-5
Dolakha,Melung,4,PLAN,,ECARDS,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",,Completed,households,76,76,4,22007,22007-4
Dolakha,Melung,2,PLAN,,ECARDS,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",,Completed,households,60,60,2,22007,22007-2
Dolakha,Melung,2,PLAN,,ECARDS,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",,Completed,households,60,60,2,22007,22007-2
Dolakha,Melung,6,PLAN,,ECARDS,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",,Completed,households,90,90,6,22007,22007-6
Dolakha,Bigu,6,NSET,,NSET,USAID,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",DUDBC,Completed,households,60,60,6,22003,22003-6
Dolakha,Kalinchok,2,NSET,,NSET,USAID,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",DUDBC,Completed,households,32,32,2,22006,22006-2
Dolakha,Kalinchok,2,NSET,,NSET,USAID,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",DUDBC,Completed,households,27,27,2,22006,22006-2
Dolakha,Bigu,6,NSET,,NSET,USAID,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",DUDBC,Planned,households,25,0,6,22003,22003-6
Dolakha,Baiteshwor,1,AA,Community-led Reconstruction Programme(CLRP),ECARDS,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",,Completed,households,18,18,1,22001,22001-1
Dolakha,Melung,6,AA,Community-led Reconstruction Programme(CLRP),ECARDS,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",,Completed,households,17,17,6,22007,22007-6
Dolakha,Sailung,2,PLAN,,ECARDS,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",,Completed,households,11,11,2,22008,22008-2
Dolakha,Baiteshwor,1,AA,Community-led Reconstruction Programme(CLRP),ECARDS,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",,Completed,households,6,6,1,22001,22001-1
Dolakha,Baiteshwor,2,AA,Community-led Reconstruction Programme(CLRP),ECARDS,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",,Completed,households,6,6,2,22001,22001-2
Dolakha,Sailung,2,PLAN,,ECARDS,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",,Completed,households,6,6,2,22008,22008-2
Dolakha,Sailung,2,PLAN,,ECARDS,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",,Completed,households,6,6,2,22008,22008-2
Dolakha,Sailung,2,PLAN,,ECARDS,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",,Completed,households,6,6,2,22008,22008-2
Dolakha,Sailung,2,PLAN,,ECARDS,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",,Completed,households,5,5,2,22008,22008-2
Dolakha,Sailung,2,PLAN,,ECARDS,,Rural Housing and Community Infrastructure,Capacity building - Short training for mason,,"Masons (7 days DUDBC, rural or urban)",,Completed,households,5,5,2,22008,22008-2
